teste;estatistica;gl;p_valor
RSerr;83,2018525143817698;1;0,0000000000000000
RSlag;86,2217354565473926;1;0,0000000000000000
adjRSerr;0,0175093610241196;1;0,8947288617031972
adjRSlag;3,0373923031897312;1;0,0813665278889101
SARMA;86,2392448175715032;2;0,0000000000000000
