modelo;termo;beta;ep;z;p_valor;razao_taxas;rt_li;rt_ls;RT_IC;p_fmt
SAR;(Intercept);0,70893764125415626;0,3098313302522445;2,2881405849982484;0,022129335424210028;2,031831577625287;1,107016140435881;3,729249655031908;2.03 (1.11–3.73);0,022
SAR;idhm;-0,01864988208548164;0,0530768091036599;-0,3513753445324511;0,725306776843239742;0,981522950859638;0,884546293689183;1,089131580718298;0.98 (0.88–1.09);0,725
SAR;pct_agua_superficial;0,01617437452377513;0,0591047189782415;0,2736562292044646;0,784348818084563693;1,016305887811050;0,905135271959476;1,141130712278386;1.02 (0.91–1.14);0,784
SAR;pct_esgoto_em_corpo_dagua;0,12568951318729066;0,0679781184513278;1,8489701693830203;0,064462120275481372;1,133930043295793;0,992480812623125;1,295538741641201;1.13 (0.99–1.30);0,064
SAR;pct_agua_rede;-0,02576946797781907;0,0335995991789358;-0,7669576009101452;0,443106724683558717;0,974559730939754;0,912447542938586;1,040900023809140;0.97 (0.91–1.04);0,443
SAR;pct_esgoto_adeq;-0,05492091566043499;0,0203741537597890;-2,6956170208565142;0,007025839446247906;0,946560003066212;0,909505478839353;0,985124180393162;0.95 (0.91–0.99);0,007
SAR;dens_demografica;0,05134957862344749;0,0554139248041010;0,9266547858679607;0,354105799977952662;1,052690827178826;0,944346888228044;1,173464953864324;1.05 (0.94–1.17);0,354
SAR;bahia;-0,32283608829855553;0,1284239264785000;-2,5138313175045535;0,011942754085271234;0,724092531880237;0,562959840754079;0,931345287476321;0.72 (0.56–0.93);0,012
SEM;(Intercept);1,43488177540832673;0,3866743841672581;3,7108270787021178;0,000206583188699927;4,199148536819763;1,967964938051280;8,959940339046879;4.20 (1.97–8.96);<0,001
SEM;idhm;0,01218162781038522;0,0652080147972400;0,1868118182751487;0,851808180400440929;1,012256126034322;0,890808250990117;1,150261533337976;1.01 (0.89–1.15);0,852
SEM;pct_agua_superficial;-0,00893069454483302;0,0699296814546810;-0,1277096414434647;0,898378759808036609;0,991109065657584;0,864163864481649;1,136702447767657;0.99 (0.86–1.14);0,898
SEM;pct_esgoto_em_corpo_dagua;0,16406573133853100;0,0832659521996876;1,9703819749165929;0,048794609808365585;1,178291763242087;1,000864838784727;1,387171799350988;1.18 (1.00–1.39);0,049
SEM;pct_agua_rede;-0,04170377770918316;0,0379542269158015;-1,0987913889459471;0,271859069066324732;0,959153861248918;0,890391466942927;1,033226579211677;0.96 (0.89–1.03);0,272
SEM;pct_esgoto_adeq;-0,05709613029585065;0,0225574650580374;-2,5311412496461676;0,011369205412422367;0,944503269623549;0,903653975970146;0,987199138223066;0.94 (0.90–0.99);0,011
SEM;dens_demografica;0,01174818532597338;0,0736005726053890;0,1596208413888505;0,873179760431738394;1,011817466297943;0,875895106213662;1,168832406806317;1.01 (0.88–1.17);0,873
SEM;bahia;-0,46754333781213514;0,2278107841013509;-2,0523318931386911;0,040137418505654443;0,626539575271334;0,400896305596394;0,979185474900307;0.63 (0.40–0.98);0,040
SDM;(Intercept);-0,04574565742843197;0,5124911915709619;-0,0892613535233762;0,928874206847451145;0,955284900912854;0,349857834937448;2,608400186536454;0.96 (0.35–2.61);0,929
SDM;idhm;0,04783508727815535;0,0703784786761613;0,6796834512189894;0,496704916675414276;1,048997648001968;0,913833645753834;1,204153590346226;1.05 (0.91–1.20);0,497
SDM;pct_agua_superficial;-0,01405645701304522;0,0742193647452451;-0,1893906942115904;0,849786617431556923;0,986041873712453;0,852547449689368;1,140439253051101;0.99 (0.85–1.14);0,850
SDM;pct_esgoto_em_corpo_dagua;0,16065105163702076;0,0950784870931203;1,6896677318779636;0,091091539900915786;1,174275135926404;0,974624721536888;1,414823638662221;1.17 (0.97–1.41);0,091
SDM;pct_agua_rede;-0,04603577117087072;0,0389779158926078;-1,1810731825095218;0,237573652296208415;0,955007799832514;0,884765636710839;1,030826537444982;0.96 (0.88–1.03);0,238
SDM;pct_esgoto_adeq;-0,05068297234663049;0,0234487400117219;-2,1614369182009101;0,030661604881202287;0,950579982909047;0,907880512893571;0,995287695984826;0.95 (0.91–1.00);0,031
SDM;dens_demografica;-0,05801650054578454;0,0850221897777958;-0,6823689285986377;0,495005697804539846;0,943634376826098;0,798787766415933;1,114746462784858;0.94 (0.80–1.11);0,495
SDM;bahia;0,17026817292734564;0,5962964403945649;0,2855428296950431;0,775228296182737697;1,185622760617569;0,368441677369694;3,815261456113569;1.19 (0.37–3.82);0,775
SDM;lag.idhm;-0,14270737956439866;0,1024114199222252;-1,3934713499019504;0,163477302857919726;0,867007735960962;0,709330463785580;1,059735134177716;0.87 (0.71–1.06);0,163
SDM;lag.pct_agua_superficial;0,15617397866137947;0,1184098454176953;1,3189273080331261;0,187193415642844307;1,169029571598445;0,926900255586265;1,474409065091097;1.17 (0.93–1.47);0,187
SDM;lag.pct_esgoto_em_corpo_dagua;-0,16357898297779727;0,1351601802024127;-1,2102601722846569;0,226179075212056713;0,849099431951460;0,651490192550946;1,106647273564156;0.85 (0.65–1.11);0,226
SDM;lag.pct_agua_rede;0,06724867970349246;0,0678037072514376;0,9918142005733268;0,321288169125520051;1,069561423323268;0,936461764036869;1,221578586753977;1.07 (0.94–1.22);0,321
SDM;lag.pct_esgoto_adeq;0,00737762393698389;0,0380674545690374;0,1938039729870607;0,846329376002653566;1,007404905654611;0,934975842413323;1,085444776110415;1.01 (0.93–1.09);0,846
SDM;lag.dens_demografica;0,24026297616484640;0,1127929544276603;2,1301239725832253;0,033161379658417811;1,271583502508921;1,019374073483848;1,586193573009757;1.27 (1.02–1.59);0,033
SDM;lag.bahia;-0,58438803738193668;0,6284205209516118;-0,9299314995267864;0,352406552500142523;0,557446894112774;0,162660144409028;1,910406761809870;0.56 (0.16–1.91);0,352
