ordem;estimate;expectation;variance;standard_deviate;pr_i_two_sided
1 (503);0,0982079467716664;-0,00199203187250996;0,0005710110605340446;4,19319798708448;0,000165029511492298
2 (503);0,0584930493509943;-0,00199203187250996;0,0002484701908951802;3,83717071547194;0,000622299771507053
3 (503);0,0334275789367059;-0,00199203187250996;0,0001646698810290872;2,76017551483256;0,023108126146297842
4 (503);0,0277462108636866;-0,00199203187250996;0,0001260612311486459;2,64864973592942;0,024244212143067212
5 (503);-0,0172259475232282;-0,00199203187250996;0,0001035681427943910;-1,49691952241329;0,134414199770366949
6 (503);-0,0232508059636892;-0,00199203187250996;0,0000900200036111775;-2,24062255719104;0,050101068597898077
