code_muni;RR_anual;li;ls;p;motivo;p_aj;classe_tendencia
3146255;;;;;casos insuficientes;;Não estimável
3146552;;;;;casos insuficientes;;Não estimável
3147956;7,19267640934448e-01;4,88913582122013e-01;1,05815415691663e+00;9,43309532824919e-02;;1,95167489549983e-01;Estável
3149150;7,40945703815567e-01;4,73085244940217e-01;1,16046852417078e+00;1,90257561699717e-01;;3,35748638293619e-01;Estável
3150570;;;;;casos insuficientes;;Não estimável
3151206;5,51980846598645e-01;4,12635078028976e-01;7,38383310665511e-01;6,25252155727362e-05;;5,35930419194881e-04;Decrescente
3152131;;;;;casos insuficientes;;Não estimável
3152204;;;;;casos insuficientes;;Não estimável
3154507;;;;;casos insuficientes;;Não estimável
3155603;;;;;casos insuficientes;;Não estimável
3156502;1,04850370064107e+00;7,68793925789372e-01;1,42998009398843e+00;7,64808983660195e-01;;8,74067409897366e-01;Estável
3157005;8,87946801642624e-01;6,65886435960196e-01;1,18406004382780e+00;4,18306146996421e-01;;5,90549854583182e-01;Estável
3157377;;;;;casos insuficientes;;Não estimável
3157609;;;;;casos insuficientes;;Não estimável
