code_muni;RR_anual;li;ls;p;motivo;p_aj;classe_tendencia
2912004;;;;;casos insuficientes;;Não estimável
2912103;5,49610138482486e-01;3,44647055367605e-01;8,76465646864572e-01;1,19461602502615e-02;;4,09582637151823e-02;Decrescente
2912202;;;;;casos insuficientes;;Não estimável
2912301;;;;;casos insuficientes;;Não estimável
2912400;;;;;casos insuficientes;;Não estimável
2912509;;;;;casos insuficientes;;Não estimável
2912608;;;;;casos insuficientes;;Não estimável
2912707;;;;;casos insuficientes;;Não estimável
2912806;1,00468759860524e+00;7,87915089536165e-01;1,28109892067861e+00;9,69915756009124e-01;;9,84564355405271e-01;Estável
2912905;;;;;casos insuficientes;;Não estimável
2913002;;;;;casos insuficientes;;Não estimável
2913101;;;;;casos insuficientes;;Não estimável
2913200;;;;;casos insuficientes;;Não estimável
2913309;2,85335223550792e-01;1,60483643109650e-01;5,07317681859657e-01;1,94403634428763e-05;;2,12076692104105e-04;Decrescente
2913408;;;;;casos insuficientes;;Não estimável
2913457;;;;;casos insuficientes;;Não estimável
2913507;;;;;casos insuficientes;;Não estimável
2913606;1,33043438096284e+00;9,28818202720928e-01;1,90570731372693e+00;1,19420249881592e-01;;2,38840499763184e-01;Estável
2913705;;;;;casos insuficientes;;Não estimável
2913804;1,37632528631371e+00;9,53760549160386e-01;1,98610782907101e+00;8,78285667730728e-02;;1,84902245838048e-01;Estável
2913903;;;;;casos insuficientes;;Não estimável
2914000;;;;;casos insuficientes;;Não estimável
2914109;;;;;casos insuficientes;;Não estimável
2914208;;;;;casos insuficientes;;Não estimável
2914307;;;;;casos insuficientes;;Não estimável
2914406;;;;;casos insuficientes;;Não estimável
2914505;9,74740142611619e-01;7,11730344716000e-01;1,33494146016444e+00;8,73309582225255e-01;;9,35688838098487e-01;Estável
2914604;6,87465672271855e-01;5,59042946579522e-01;8,45389524085457e-01;3,82447800537086e-04;;2,41545979286581e-03;Decrescente
2914653;;;;;casos insuficientes;;Não estimável
2914703;;;;;casos insuficientes;;Não estimável
2914802;;;;;casos insuficientes;;Não estimável
2914901;;;;;casos insuficientes;;Não estimável
2915007;;;;;casos insuficientes;;Não estimável
2915106;;;;;casos insuficientes;;Não estimável
2915205;;;;;casos insuficientes;;Não estimável
2915304;;;;;casos insuficientes;;Não estimável
2915353;;;;;casos insuficientes;;Não estimável
2915403;;;;;casos insuficientes;;Não estimável
2915502;;;;;casos insuficientes;;Não estimável
2915601;1,31301856488030e+00;9,27140267562773e-01;1,85950045752229e+00;1,25061822249242e-01;;2,46023256883754e-01;Estável
2915700;;;;;casos insuficientes;;Não estimável
2915809;;;;;casos insuficientes;;Não estimável
2915908;;;;;casos insuficientes;;Não estimável
2916005;1,46003654845461e+00;1,13366931211293e+00;1,88036026030393e+00;3,36918680398668e-03;;1,44393720170858e-02;Crescente
2916104;;;;;casos insuficientes;;Não estimável
2916203;5,91174631434094e-01;4,02842829983463e-01;8,67552848999653e-01;7,23201757435222e-03;;2,62982457249172e-02;Decrescente
2916302;;;;;casos insuficientes;;Não estimável
2916401;9,63867634792343e-01;7,03788693898229e-01;1,32005646787860e+00;8,18586519478872e-01;;9,01196168233620e-01;Estável
2916500;;;;;casos insuficientes;;Não estimável
2916609;;;;;casos insuficientes;;Não estimável
2916708;;;;;casos insuficientes;;Não estimável
2916807;;;;;casos insuficientes;;Não estimável
2916856;1,19153886356009e+00;8,61966434240210e-01;1,64712314421563e+00;2,88774560177587e-01;;4,60855235769251e-01;Estável
2916906;;;;;casos insuficientes;;Não estimável
2917003;;;;;casos insuficientes;;Não estimável
2917102;;;;;casos insuficientes;;Não estimável
2917201;;;;;casos insuficientes;;Não estimável
2917300;;;;;casos insuficientes;;Não estimável
2917334;;;;;casos insuficientes;;Não estimável
2917359;;;;;casos insuficientes;;Não estimável
2917409;1,01375079432705e+00;8,26670210265426e-01;1,24316887222627e+00;8,95610177914669e-01;;9,37312939687049e-01;Estável
2917508;9,50563766226139e-01;7,27212025721165e-01;1,24251448230104e+00;7,10630167089915e-01;;8,52756200507898e-01;Estável
2917607;1,02647839064225e+00;8,05670518539788e-01;1,30780246044644e+00;8,32519078335865e-01;;9,08202630911853e-01;Estável
2917706;;;;;casos insuficientes;;Não estimável
2917805;;;;;casos insuficientes;;Não estimável
2917904;1,51123650731242e+00;8,77000246340366e-01;2,60414497095533e+00;1,36949602245825e-01;;2,52830034915370e-01;Estável
2918001;9,50055869071803e-01;7,54193620179273e-01;1,19678306764678e+00;6,63598352724249e-01;;8,12569411499080e-01;Estável
2918100;;;;;casos insuficientes;;Não estimável
2918209;4,60856166166906e+10;6,49196588866456e+09;3,27155763810935e+11;3,90790935316391e-133;;4,68949122379669e-131;Crescente
2918308;;;;;casos insuficientes;;Não estimável
