ano;I;I_esperado;p_valor;n_sim
2018;0,03122092840053219;-0,00199203187250996;0,047;999
2019;0,01692124777061445;-0,00199203187250996;0,038;999
2020;0,11640743931384476;-0,00199203187250996;0,005;999
2021;0,08938423754593486;-0,00199203187250996;0,014;999
2022;0,09017362358843496;-0,00199203187250996;0,009;999
2023;0,00119972198410344;-0,00199203187250996;0,121;999
2024;0,16619775971364961;-0,00199203187250996;0,001;999
2025;0,17027251899235593;-0,00199203187250996;0,001;999
