code_muni;n_anos_AA;n_anos_BB;n_anos_sig;classe_persistencia;name_muni;abbrev_state;regiao;inc_sinan_ebl;idhm;ivs;pct_agua_rede;pct_esgoto_adeq;pct_agua_superficial;pct_esgoto_em_corpo_dagua;pct_lixo_coletado
2925600;0;0;0;Sem cluster relevante;Presidente Dutra;BA;Bahia;1,97851026850467870;0,614;;96,4451027587484;1,777448620625810;0,00000000000000000;0,00000000000000000;91,4089983336419
2925709;0;0;0;Sem cluster relevante;Presidente Jânio Quadros;BA;Bahia;1,16479920588268970;0,542;;41,7249943553850;18,627229622939716;7,90246105215624262;0,54188304357642814;42,9668096635809
2925758;0;0;0;Sem cluster relevante;Presidente Tancredo Neves;BA;Bahia;56,95333620859997126;0,559;;54,8902821316614;27,377220480668758;1,04493207941483801;4,95297805642633282;59,2371995820272
2925808;0;0;0;Sem cluster relevante;Queimadas;BA;Bahia;0,50553051306332020;0,592;;66,6629760850310;33,547387068201949;5,17050487156775862;1,15146147032772372;69,6634189548273
2925907;0;0;0;Sem cluster relevante;Quijingue;BA;Bahia;1,88521582285167444;0,544;;78,3549783549784;8,202323991797677;0,20505809979494191;0,12531328320802004;77,3524720893142
2925931;0;0;0;Sem cluster relevante;Quixabeira;BA;Bahia;1,47829234254598973;0,578;;82,8808864265928;0,470914127423823;1,27423822714681445;0,00000000000000000;77,0360110803324
2925956;0;0;0;Sem cluster relevante;Rafael Jambeiro;BA;Bahia;2,90898892138082488;0,564;;62,3419626730885;20,018061408789887;1,02347983142685139;0,51173991571342570;57,2396146899458
2926004;0;0;0;Sem cluster relevante;Remanso;BA;Bahia;0,28479225008729769;0,579;;63,4775436754892;54,247581914973388;0,57734123116143055;0,04498762840218940;65,6819374671965
2926103;0;0;0;Sem cluster relevante;Retirolândia;BA;Bahia;1,47858400751956709;0,636;;83,0146910847253;28,818675789897362;0,34212115113704972;0,12074864157778226;88,1465083517810
2926202;0;0;0;Sem cluster relevante;Riachão das Neves;BA;Bahia;1,60922454734247644;0,578;;68,4430803571429;0,781250000000000;7,63113839285714235;0,13950892857142858;54,8967633928571
