code_muni;name_muni;uf;regiao;casos_sinan;pessoa_ano;inc_sinan_bruta;inc_sinan_ebg;inc_sinan_ebl;examinados;positivos;posit_bruta;posit_ebl;rme_sinan;rme_pce
2916203;Itapé;BA;Bahia;8;76741,3035772453;10,4246339677400250;10,25860992573089625;7,82664877105013534;0;0;;;3,6871440238710789;
3136801;Juramento;MG;Norte de Minas;2;32523,4271719235;6,1494134348994418;5,98305589543130356;7,09069153671056718;0;0;;;2,1750186209864100;
3156502;Rubelita;MG;Norte de Minas;6;45936,2455946385;13,0615811595632376;12,69334840641282902;7,01892128065109500;0;0;;;4,6198198482388859;
2904050;Bonito;BA;Bahia;11;132062,1624464386;8,3294107836991884;8,25889538711095916;6,93251690616902305;0;0;;;2,9460734341871415;
2906006;Campo Formoso;BA;Bahia;42;579856,3558954054;7,2431731709044103;7,23015502742941774;6,89716462852399559;0;0;;;2,5618762973941909;
2923803;Paripiranga;BA;Bahia;19;225684,6892886634;8,4188254240401434;8,37666777884596669;6,61134451818700253;0;0;;;2,9776989721005078;
2900900;Almadina;BA;Bahia;5;42782,2183186966;11,6870985107728949;11,34572431260919956;6,52440297357731946;0;0;;;4,1336717973735109;
3136959;Juvenília;MG;Norte de Minas;3;46391,5818249812;6,4666904683654103;6,33698328486139495;6,28384672053428073;0;0;;;2,2872380160726826;
3127354;Glaucilândia;MG;Norte de Minas;0;24496,3323571373;0,0000000000000000;0,18493726841224598;6,11038805979178523;0;0;;;0,0000000000000000;
2913309;Ichu;BA;Bahia;5;50186,4958541603;9,9628394349941694;9,72712508450295132;6,09863615044041563;0;0;;;3,5238094687260837;
2903102;Barra do Rocha;BA;Bahia;4;46102,0505385194;8,6764036594378844;8,46668064535382214;5,90285600355351114;0;0;;;3,0688031829788045;
2922904;Nova Soure;BA;Bahia;14;204060,7162057768;6,8607031575260473;6,82709739509915092;5,88453758536441640;0;0;;;2,4265984518120840;
2917904;Jandaíra;BA;Bahia;7;80605,1697295776;8,6843065072430328;8,56232133194512635;5,83405555529966779;0;0;;;3,0715983830929265;
3116506;Claro dos Poções;MG;Norte de Minas;1;59000,3501024285;1,6949051967724502;1,72688195363442554;5,55645075918975184;0;0;;;0,5994799996476408;
2929503;São Sebastião do Passé;BA;Bahia;21;346221,3393690812;6,0654840161696217;6,04952751248236886;5,50568837579266201;0;0;;;2,1453331801686044;
3130655;Indaiabira;MG;Norte de Minas;4;54796,4786050721;7,2997391471607296;7,16404947725048213;5,33350637680978412;0;0;;;2,5818834172559861;
2916856;Itatim;BA;Bahia;8;122664,8307472544;6,5218367410326863;6,47090986307032168;5,15166289050879467;0;0;;;2,3067429934496477;
3129608;Ibiaí;MG;Norte de Minas;3;58642,9795852937;5,1157018644262893;5,05069831420909487;5,10781544163361723;0;0;;;1,8093996984159555;
2900355;Adustina;BA;Bahia;6;125800,4165910702;4,7694595634796197;4,74334636864377401;5,07119113619854645;0;0;;;1,6869354243994692;
2917409;Jacaraci;BA;Bahia;7;118294,6572878758;5,9174270085293550;5,87328039438008886;4,94002863982639351;0;0;;;2,0929661126435097;
2921807;Mortugaba;BA;Bahia;5;93608,6926332652;5,3413842874493671;5,29616570222765848;4,93578431284146379;0;0;;;1,8892225104127474;
3157005;Salinas;MG;Norte de Minas;17;330896,9595261760;5,1375509839506979;5,12564246509785004;4,85580972795839116;0;0;;;1,8171276292699854;
2922409;Mutuípe;BA;Bahia;8;170560,4664841648;4,6904186913341599;4,67187677986440431;4,80309178027118833;0;0;;;1,6589790395254713;
2929602;Sapeaçu;BA;Bahia;7;143126,1470759276;4,8907904970616860;4,86636474168826982;4,77426424525843007;0;0;;;1,7298496051805139;
3157377;Santa Cruz de Salinas;MG;Norte de Minas;1;32199,9632032908;3,1055936110442532;3,09152456111397766;4,73392194281001455;0;0;;;1,0984338595455216;
3168002;Taiobeiras;MG;Norte de Minas;14;272733,3233655964;5,1332194494008103;5,11881422127005692;4,68137514005731603;0;0;;;1,8155955858640267;
