quintil_pop;n;pop_mediana;cv_bruta;cv_ebl;reducao_cv_pct;razao_mediana
1;101;49138,4203765432;2,78667516271440;2,75864875939467;1,005729110257325;0,854591258258006
2;101;88184,0331512008;4,23060686203575;4,29519949884708;-1,526793647288804;0,974672399304142
3;101;126017,3811321376;4,08752073129320;4,08067883051241;0,167385102867101;0,976095310689417
4;100;195811,4770587254;2,80882850098998;2,78786904773567;0,746199109234302;1,009396620656822
5;100;404921,3545433013;3,70195395498340;3,57034401753493;3,555147877279907;1,036729936665894
