termo;direto;indireto;total;p_direto;p_indireto;p_total;p_direto_fmt;p_indireto_fmt;p_total_fmt;modelo
idhm;-0,0201228914049162;-0,0200740113911635;-0,0401969027960797;0,71922825502233856;0,7249465980905856;0,72077045990373478;0,719;0,725;0,721;SAR
pct_agua_superficial;0,0165949371201576;0,0159460116405952;0,0325409487607528;0,78687680494657242;0,7988162529621066;0,79188965612808815;0,787;0,799;0,792;SAR
pct_esgoto_em_corpo_dagua;0,1328215534695409;0,1305014429875277;0,2633229964570685;0,06343977244425281;0,0820007898009469;0,06726796667192181;0,063;0,082;0,067;SAR
pct_agua_rede;-0,0278666057633571;-0,0272056841818853;-0,0550722899452425;0,43591052919354056;0,4559934647869737;0,44301636818130419;0,436;0,456;0,443;SAR
pct_esgoto_adeq;-0,0587940451582853;-0,0576968586544228;-0,1164909038127081;0,00697328232564209;0,0153628632222849;0,00837137178583514;0,007;0,015;0,008;SAR
dens_demografica;0,0552194495366825;0,0539080982056898;0,1091275477423723;0,32548076341603105;0,3490710339238146;0,33361795379845649;0,325;0,349;0,334;SAR
bahia;-0,3440263312093069;-0,3357191573033489;-0,6797454885126558;0,01154802888648954;0,0196562955928108;0,01250947799382196;0,012;0,020;0,013;SAR
