modelo;AIC;R2_ajustado;delta_AIC
SAR;1354,36709809980;;0,00000000000000
SEM;1355,03254547728;;0,66544737747904
SDM;1360,90358848642;;6,53649038662115
OLS;1429,91674007973;0,0597338895094832;75,54964197992672
GWR;1430,54629421575;0,0724577571678544;76,17919611594971
