code_muni;name_muni;uf;regiao;pop_central;casos_sinan;pessoa_ano;inc_sinan_bruta;inc_sinan_ebl;rme_sinan;examinados;positivos;posit_ebl;idhm;ivs;pct_agua_rede;pct_esgoto_adeq;cluster;p_lisa_aj;Gi_cluster;n_anos_AA;classe_persistencia;RR_anual;classe_tendencia
3170008;Ubaí;MG;Norte de Minas;11708,00000000001;276;97770,7361902721;282,2930569560968479;281,10935877600303456;99,8457270688823257;0;0;;0,609;;62,4235686492496;3,585325180655920;Não significativo;0,3472886956521739;Hot spot;0;Sem cluster relevante;5,78873762860435e-01;Decrescente
2902005;Aracatu;BA;Bahia;13936,00000000001;248;109343,9175775272;226,8073117319603966;225,79239858952385589;80,2206798445565994;0;0;;0,581;;43,9548513132190;1,367484263077925;Não significativo;0,4860887931034483;Hot spot;0;Sem cluster relevante;1,29947296908146e+00;Estável
3142007;Mirabela;MG;Norte de Minas;13650,99999999999;116;110006,7094412737;105,4481136552182221;102,77206718584713485;37,2965020446281699;0;0;;0,665;;85,0407578761842;49,217889402952189;Não significativo;0,3549860655737705;Não significativo;0;Sem cluster relevante;6,49360554701775e-01;Decrescente
3117836;Cônego Marinho;MG;Norte de Minas;7237,00000000000;62;60070,9287660293;103,2113224709480050;99,46386647013524396;36,5053595188328615;0;0;;0,621;;82,7222924568057;0,168563000421408;Não significativo;0,1957127272727272;Hot spot;0;Sem cluster relevante;1,31339597717317e+00;Crescente
2932101;Ubaíra;BA;Bahia;18626,00000000001;132;155368,0991951663;84,9595255935954299;84,16836709464698174;30,0497847725639673;0;0;;0,582;;54,3132389432200;41,877098233834474;Não significativo;0,4384483333333333;Não significativo;0;Sem cluster relevante;1,40588916968408e+00;Estável
3135209;Januária;MG;Norte de Minas;65150,00000000002;393;536651,4063532156;73,2318960404127921;72,95640352549773411;25,9017773360433345;0;0;;0,658;;77,2701845981727;24,477904158120456;Não significativo;0,2358327868852459;Hot spot;0;Sem cluster relevante;3,17849328126207e+00;Crescente
3108255;Bonito de Minas;MG;Norte de Minas;10204,00000000001;58;86755,5049171206;66,8545472191172934;66,25727552091669281;23,6461390405072223;0;0;;0,537;;51,2331469911213;0,493258796448537;Não significativo;0,1833155555555556;Hot spot;0;Sem cluster relevante;1,12694761746185e+00;Estável
3138682;Luislândia;MG;Norte de Minas;6210,00000000000;31;51963,2176545403;59,6575835740059404;59,40423274561897671;21,1006068351359382;0;0;;0,614;;44,3715295305401;0,403836446239273;Não significativo;0,0798882352941176;Hot spot;0;Sem cluster relevante;1,05266571390968e+00;Estável
2925758;Presidente Tancredo Neves;BA;Bahia;27734,00000000001;130;226510,1583232541;57,3925694822375903;56,95333620859997126;20,2994819996461047;0;0;;0,559;;54,8902821316614;27,377220480668758;Não significativo;0,4984820359281438;Não significativo;0;Sem cluster relevante;8,07196330498523e-01;Decrescente
2918456;Jucuruçu;BA;Bahia;9655,00000000000;42;75569,4345688482;55,5780260096236631;53,77260703938537034;19,6576865043023759;0;0;;0,541;;39,0968848242355;35,124321234638465;Não significativo;0,4866932668329177;Não significativo;0;Sem cluster relevante;1,25089633087721e+00;Estável
2924702;Piripá;BA;Bahia;9152,00000000000;41;79140,3559096668;51,8066914518284634;49,81450584564483819;18,3237832018147593;0;0;;0,575;;65,0276582667486;4,609711124769515;Não significativo;0,3521000000000000;Não significativo;0;Sem cluster relevante;6,58402936908680e-01;Decrescente
2903235;Barro Alto;BA;Bahia;13452,99999999999;49;114924,0834427279;42,6368421066581789;40,53508911102230883;15,0804505996847862;0;0;;0,607;;64,3218197135636;1,095197978096040;Não significativo;0,4162507246376812;Não significativo;0;Sem cluster relevante;2,89313444821633e-01;Decrescente
2918209;Jiquiriçá;BA;Bahia;13629,00000000001;36;113789,7760345890;31,6372887394180005;31,50982284696877755;11,1899602871445349;0;0;;0,553;;49,2518703241895;31,566916043225270;Não significativo;0,2543742857142857;Não significativo;0;Sem cluster relevante;4,60856166166906e+10;Crescente
3142254;Miravânia;MG;Norte de Minas;3985,00000000000;11;35577,9788643763;30,9180013905009190;29,77771433592141292;10,9355517335000734;0;0;;0,593;;70,2363367799114;0,147710487444609;Não significativo;0,2543742857142857;Não significativo;0;Sem cluster relevante;1,10441890070101e+00;Estável
2912806;Ibirapuã;BA;Bahia;8896,00000000000;22;71175,6853184759;30,9094319240635258;28,85090625206251858;10,9325207535097757;0;0;;0,614;;62,1621621621622;50,450450450450447;Não significativo;0,4590485436893204;Não significativo;0;Sem cluster relevante;1,00468759860524e+00;Estável
2910404;Encruzilhada;BA;Bahia;19107,00000000001;43;144370,8148283052;29,7844131801419145;28,78149488557613367;10,5346069129634099;0;0;;0,544;;65,2077480408103;44,137217211296765;Não significativo;0,4384483333333333;Não significativo;0;Sem cluster relevante;1,35850595088543e+00;Estável
2925006;Planalto;BA;Bahia;23333,99999999998;57;200442,3990338817;28,4370972781886451;27,73788170625252647;10,0580676127321862;0;0;;0,560;;68,7357151449537;0,421027306628173;Não significativo;0,4567510067114094;Não significativo;0;Sem cluster relevante;9,02130323975309e-01;Estável
2909000;Cordeiros;BA;Bahia;7546,00000000000;18;65218,7309856044;27,5994330585382244;26,49605679162034022;9,7617897164479999;0;0;;0,579;;70,4433497536946;4,926108374384237;Não significativo;0,3108540000000000;Não significativo;0;Sem cluster relevante;9,78587830013417e-01;Estável
3147956;Patis;MG;Norte de Minas;4837,00000000000;11;43321,9825772883;25,3912663862405701;24,14159115326896554;8,9807715459617086;0;0;;0,614;;89,1148325358852;2,631578947368421;Não significativo;0,1926382978723404;Não significativo;0;Sem cluster relevante;7,19267640934448e-01;Estável
3149150;Pedras de Maria da Cruz;MG;Norte de Minas;10433,00000000001;15;90263,5891521568;16,6179964046350896;17,21847283928046934;5,8777072002408932;0;0;;0,614;;59,1935945095796;20,102945381755791;Não significativo;0,3108540000000000;Não significativo;0;Sem cluster relevante;7,40945703815567e-01;Estável
2908101;Cocos;BA;Bahia;19150,99999999998;20;153479,1541495877;13,0310856290666646;13,89551188953686633;4,6090337224743587;0;0;;0,596;;65,9094519459889;1,270849880857824;Não significativo;0,2397109375000000;Não significativo;0;Sem cluster relevante;8,39187312878138e-01;Estável
3170909;Varzelândia;MG;Norte de Minas;18840,00000000001;21;153540,0810468157;13,6772104435694022;13,55149727927106085;4,8375650316638215;0;0;;0,594;;71,3741064336775;15,011914217633043;Não significativo;0,4479010600706714;Não significativo;0;Sem cluster relevante;2,13878455940980e+00;Crescente
2931806;Tremedal;BA;Bahia;16296,00000000000;17;131312,3174842106;12,9462340819962556;12,87095036418801719;4,5790221291977939;0;0;;0,528;;38,3713022781367;10,030601836110167;Não significativo;0,3655862318840580;Não significativo;0;Sem cluster relevante;9,81390671647158e-01;Estável
2905404;Cairu;BA;Bahia;17760,99999999999;18;146126,8743373126;12,3180626983436490;12,16099531758522545;4,3568408640935132;0;0;;0,627;;84,4658708295072;35,935108662381388;Não significativo;0,4479010600706714;Não significativo;0;Sem cluster relevante;1,17368308251130e+00;Estável
3116159;Chapada Gaúcha;MG;Norte de Minas;12354,99999999999;12;105896,4431559464;11,3318253591656717;12,12997777387670517;4,0080133539361533;0;0;;0,635;;68,3153013910355;0,953116950025760;Não significativo;0,2543742857142857;Não significativo;0;Sem cluster relevante;1,25701186155926e+00;Estável
3135357;Japonvar;MG;Norte de Minas;8127,00000000000;8;65608,1976678150;12,1935981849483195;12,08814753175819590;4,3128183508647719;0;0;;0,608;;71,4335664335664;1,188811188811189;Não significativo;0,3882128205128205;Não significativo;0;Sem cluster relevante;1,18187188893380e+00;Estável
2907301;Castro Alves;BA;Bahia;24712,00000000001;26;205901,6299346935;12,6273891120951784;11,88275609794525067;4,4662481623659414;0;0;;0,613;;89,1683896163565;60,429588789340684;Não significativo;0,4866932668329177;Não significativo;0;Sem cluster relevante;1,89030096804950e+00;Crescente
2906204;Canarana;BA;Bahia;24205,99999999999;23;203785,3841963973;11,2863835111127724;11,18810977122650918;3,9919407859207765;0;0;;0,587;;85,5370905587669;2,324181117533719;Não significativo;0,3882128205128205;Não significativo;0;Sem cluster relevante;7,19563611032955e-01;Decrescente
2906899;Caraíbas;BA;Bahia;9940,00000000001;8;76075,7325937466;10,5158369525285309;10,72038626465784006;3,7194020908077974;0;0;;0,555;;36,6956521739130;6,782608695652175;Não significativo;0,1740108108108108;Hot spot;0;Sem cluster relevante;7,60093910310623e-01;Estável
2930808;Souto Soares;BA;Bahia;17053,99999999999;14;137865,2325599307;10,1548445101371918;10,03737911191349852;3,5917207611088502;0;0;;0,592;;73,3321659954474;0,735422868149186;Não significativo;0,3655862318840580;Não significativo;0;Sem cluster relevante;1,33520117514073e+00;Crescente
2902252;Arataca;BA;Bahia;10191,00000000000;10;85376,1044445618;11,7128792242956035;10,02966320235388054;4,1427903145406892;0;0;;0,559;;61,4232209737828;30,048977239988478;Não significativo;0,4866932668329177;Não significativo;0;Sem cluster relevante;5,67902199134282e-01;Decrescente
3118809;Coração de Jesus;MG;Norte de Minas;25377,00000000002;20;209852,0932803715;9,5305220392913270;9,53772164449892479;3,3709008383689820;0;0;;0,642;;65,6804733727811;29,639591178052715;Não significativo;0,2854373493975904;Não significativo;0;Sem cluster relevante;1,35648348945420e+00;Crescente
2921203;Miguel Calmon;BA;Bahia;24661,00000000000;21;204074,8472801192;10,2903421366645826;9,23951062013662572;3,6396456345811701;0;0;;0,586;;87,4542715730579;44,071443942328386;Não significativo;0,4867264705882353;Não significativo;0;Sem cluster relevante;2,48544217365890e+00;Crescente
2921450;Mirante;BA;Bahia;10187,00000000000;7;75785,6370904142;9,2365786826451330;9,17174114397188056;3,2669344550725929;0;0;;0,527;;28,5382830626450;14,472157772621811;Não significativo;0,4142352941176471;Não significativo;0;Sem cluster relevante;1,06106087142349e+00;Estável
2918902;Lajedão;BA;Bahia;3845,00000000000;3;31596,8652594949;9,4946127578225425;8,98673801633322533;3,3581998943378664;0;0;;0,632;;73,4185733512786;25,437415881561236;Não significativo;0,3636190839694657;Não significativo;0;Sem cluster relevante;;Não estimável
2928059;Santa Luzia;BA;Bahia;13895,99999999999;11;106904,4540750607;10,2895619225337267;8,94938789439197713;3,6393696765111949;0;0;;0,556;;62,2812565886570;51,612903225806448;Não significativo;0,4587622149837134;Não significativo;0;Sem cluster relevante;2,16095442868707e-01;Estável
2929305;São Gonçalo dos Campos;BA;Bahia;39512,99999999996;30;315232,3694476138;9,5167891712927286;8,47832765886140294;3,3660435875217738;0;0;;0,627;;82,1918830199940;13,197552969262908;Não significativo;0,4866932668329177;Não significativo;0;Sem cluster relevante;1,20301625297979e+00;Estável
