code_muni;name_muni;abbrev_state;casos_sinan;pessoa_ano;inc_sinan_bruta;cook
2931004;Tanhaçu;BA;0;167499,3403342109;0,0000000000000000;0,05461032190122352
2908101;Cocos;BA;20;153479,1541495877;13,0310856290666646;0,05319876933951241
3162401;São João da Ponte;MG;5;197025,9039169834;2,5377373739174640;0,05125712371826402
3139300;Manga;MG;3;149536,4011304658;2,0062004818362555;0,05124530097944306
2905404;Cairu;BA;18;146126,8743373126;12,3180626983436490;0,04781981607642950
3138682;Luislândia;MG;31;51963,2176545403;59,6575835740059404;0,04721904245404755
2932903;Valença;BA;0;741076,2832345631;0,0000000000000000;0,04719289962022483
2922508;Nazaré;BA;0;225844,3688429094;0,0000000000000000;0,04716441148766207
3140852;Matias Cardoso;MG;0;80553,9104640170;0,0000000000000000;0,04624728823952731
2905156;Caetanos;BA;3;104925,3986927185;2,8591742679822580;0,04605852893439214
2916302;Itapebi;BA;2;78428,0684444792;2,5501074292245778;0,04266798238583281
2929503;São Sebastião do Passé;BA;21;346221,3393690812;6,0654840161696217;0,04245745057575340
2909000;Cordeiros;BA;18;65218,7309856044;27,5994330585382244;0,04212004484408959
2930105;Senhor do Bonfim;BA;20;623658,9511215901;3,2068809345287104;0,04208987407641413
2924405;Pilão Arcado;BA;1;286322,8746623366;0,3492560631697030;0,04080485387805938
2920601;Maragogipe;BA;7;325587,6165268907;2,1499589187913299;0,04027227820626827
2928703;Santo Antônio de Jesus;BA;25;835929,5534547125;2,9906826354781351;0,03901701871975196
3162658;São João do Pacuí;MG;0;33817,8005932499;0,0000000000000000;0,03799983241880653
3111150;Campo Azul;MG;1;30360,7424073505;3,2937270985767979;0,03756178513365037
2907202;Casa Nova;BA;0;586930,9916201114;0,0000000000000000;0,03648365373912896
3170800;Várzea da Palma;MG;2;295696,5714237960;0,6763690192178708;0,03572634760115313
2923704;Paratinga;BA;2;248824,0982036917;0,8037806685278390;0,03484382225524561
2931202;Taperoá;BA;0;158113,6036229347;0,0000000000000000;0,03429918166554331
2905701;Camaçari;BA;10;2457504,0087154591;0,4069169354163948;0,03177010409665821
3118809;Coração de Jesus;MG;20;209852,0932803715;9,5305220392913270;0,03105628926540502
3141009;Mato Verde;MG;3;98369,5880635322;3,0497230486138087;0,03072536693932656
3127073;Fruta de Leite;MG;0;39759,9567752465;0,0000000000000000;0,02876271421145905
3128253;Guaraciama;MG;0;40524,4366766790;0,0000000000000000;0,02843398307325838
2922904;Nova Soure;BA;14;204060,7162057768;6,8607031575260473;0,02763130917423442
2902708;Barra;BA;1;425501,8179589918;0,2350166222077989;0,02757178235964682
